21.305.689-1,25/10/2023,900
21.305.689-1,25/10/2023,1000
21.305.689-1,25/10/2023,900
20.000.000-1,25/10/2023,867
20.000.000-1,25/10/2023,1000
20.000.000-1,25/10/2023,150
12.345.678-9,25/10/2023,655
12.345.678-9,25/10/2023,900
12.345.678-9,25/10/2023,435
21.305.689-1,25/10/2023,900
21.305.689-1,25/10/2023,900
21.305.689-1,25/10/2023,546
20.000.000-1,25/10/2023,456
20.000.000-1,25/10/2023,1000
20.000.000-1,25/10/2023,987
12.345.678-9,25/10/2023,567
12.345.678-9,25/10/2023,1000
12.345.678-9,25/10/2023,900
